table,variable,dtype,rows,missing,missing_pct,unique,zeros,negative,infinite,minimum,p01,median,p99,maximum,skew,iqr_outliers
county_features,county_fips,string,51533,0,0.0,3234,,,,,,,,,,
county_features,year,int64,51533,0,0.0,16,0.0,0.0,0.0,2009.0,2009.0,2017.0,2024.0,2024.0,-7.534956928009977e-05,0.0
county_features,period_start,int64,51533,0,0.0,16,0.0,0.0,0.0,2005.0,2005.0,2013.0,2020.0,2020.0,-7.534956928009977e-05,0.0
county_features,period_end,int64,51533,0,0.0,16,0.0,0.0,0.0,2009.0,2009.0,2017.0,2024.0,2024.0,-7.534956928009977e-05,0.0
county_features,in_scope_us,bool,51533,0,0.0,2,,,,,,,,,,
county_features,population,float64,51533,0,0.0,39253,0.0,0.0,0.0,33.0,924.9600000000002,25986.0,1238304.84,10105722.0,13.993944187577668,6950.0
county_features,population_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,population_moe,float64,51533,46506,90.2450856732579,253,3098.0,0.0,0.0,0.0,0.0,0.0,290.7399999999998,1564.0,3.935648316253041,68.0
county_features,population_moe_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,median_age,float64,51533,0,0.0,418,0.0,0.0,0.0,18.0,27.6,40.8,54.8,86.2,0.10866845886501506,1658.0
county_features,median_age_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,median_age_moe,float64,51533,0,0.0,175,0.0,0.0,0.0,0.1,0.1,0.5,7.0,69.7,9.994622397962772,5255.0
county_features,median_age_moe_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,median_household_income,float64,51533,8,0.015524033143810763,32425,0.0,0.0,0.0,10499.0,17193.4,48750.0,104477.60000000006,181765.0,1.1282156536033043,1655.0
county_features,median_household_income_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,median_household_income_moe,float64,51533,8,0.015524033143810763,9466,0.0,0.0,0.0,234.0,616.0,2786.0,14166.120000000024,69746.0,4.440803892277901,3017.0
county_features,median_household_income_moe_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,median_home_value,float64,51533,39,0.07567966157607746,4675,0.0,0.0,0.0,16800.0,51600.0,124000.0,562414.0,1633900.0,3.4997255808317527,3415.0
county_features,median_home_value_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,median_home_value_moe,float64,51533,39,0.07567966157607746,17348,2.0,0.0,0.0,0.0,1383.93,6133.5,41775.359999999986,391352.0,8.083855632562429,3700.0
county_features,median_home_value_moe_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,median_gross_rent,float64,51533,57,0.11060873614965167,1718,0.0,0.0,0.0,99.0,380.0,690.0,1677.25,2922.0,1.847095256595632,2619.0
county_features,median_gross_rent_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,median_gross_rent_moe,float64,51533,57,0.11060873614965167,510,2.0,0.0,0.0,0.0,8.0,39.0,269.0,1665.0,5.3648480918904635,3765.0
county_features,median_gross_rent_moe_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,poverty_universe,float64,51533,1,0.0019405041429763454,39030,0.0,0.0,0.0,33.0,913.0,25070.5,1214099.8900000039,9955473.0,14.046495763954939,6931.0
county_features,poverty_universe_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,poverty_universe_moe,float64,51533,1,0.0019405041429763454,2019,0.0,0.0,0.0,1.0,8.0,176.0,1696.6900000000023,11186.0,4.296869793261215,4239.0
county_features,poverty_universe_moe_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,below_poverty,float64,51533,1,0.0019405041429763454,20077,7.0,0.0,0.0,0.0,95.0,4097.5,174230.560000001,1805868.0,16.08813429104246,5716.0
county_features,below_poverty_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,below_poverty_moe,float64,51533,1,0.0019405041429763454,4445,0.0,0.0,0.0,2.0,46.0,630.0,5240.450000000012,17434.0,4.451015917590158,3887.0
county_features,below_poverty_moe_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,civilian_labor_force,float64,51533,1,0.0019405041429763454,31442,0.0,0.0,0.0,25.0,461.31000000000006,11604.5,656349.4000000015,5252747.0,13.898791003423625,7169.0
county_features,civilian_labor_force_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,civilian_labor_force_moe,float64,51533,1,0.0019405041429763454,9660,0.0,0.0,0.0,11.0,66.0,474.0,3407.9000000000233,11220.0,3.726994656070416,4229.0
county_features,civilian_labor_force_moe_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,unemployed,float64,51533,1,0.0019405041429763454,10267,208.0,0.0,0.0,0.0,6.0,798.0,47408.12000000011,580531.0,17.106136967358808,6540.0
county_features,unemployed_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,unemployed_moe,float64,51533,1,0.0019405041429763454,8407,0.0,0.0,0.0,1.0,10.0,229.0,1808.6900000000023,6351.0,3.8873334138773856,3140.0
county_features,unemployed_moe_flag,str,51533,0,0.0,3,,,,,,,,,,
county_features,housing_units,float64,51533,0,0.0,31514,0.0,0.0,0.0,33.0,596.0,12343.0,526296.1600000001,3650466.0,12.123759817869697,6549.0
county_features,housing_units_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,housing_units_moe,float64,51533,0,0.0,1093,0.0,0.0,0.0,8.0,17.0,85.0,767.0,3942.0,4.197511782162467,4027.0
county_features,housing_units_moe_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,vacant_units,float64,51533,0,0.0,13000,0.0,0.0,0.0,6.0,145.0,1953.0,57251.36000000001,245069.0,9.029648333252519,5453.0
county_features,vacant_units_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,vacant_units_moe,float64,51533,0,0.0,2144,0.0,0.0,0.0,5.0,35.0,269.0,1889.6800000000003,5796.0,4.303100602396043,3811.0
county_features,vacant_units_moe_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,occupied_units,float64,51533,0,0.0,29468,0.0,0.0,0.0,17.0,385.32000000000005,9936.0,478213.8800000003,3416449.0,12.537347009661936,6840.0
county_features,occupied_units_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,occupied_units_moe,float64,51533,0,0.0,2239,0.0,0.0,0.0,7.0,47.0,291.0,1978.0400000000009,6253.0,4.115291171052108,3799.0
county_features,occupied_units_moe_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,owner_occupied_units,float64,51533,0,0.0,25969,11.0,0.0,0.0,0.0,271.0,7235.0,282982.04000000004,1567983.0,9.82564679402686,6696.0
county_features,owner_occupied_units_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,owner_occupied_units_moe,float64,51533,0,0.0,2706,0.0,0.0,0.0,2.0,43.0,315.0,2580.4000000000015,10546.0,5.246084732102229,4383.0
county_features,owner_occupied_units_moe_flag,str,51533,0,0.0,1,,,,,,,,,,
county_features,population_25_plus,float64,51533,0,0.0,35636,0.0,0.0,0.0,31.0,684.32,17877.0,860753.8,6922061.0,13.9724228033041,6833.0
county_features,population_25_plus_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,population_25_plus_moe,float64,51533,1609,3.1222711660489395,511,113.0,0.0,0.0,0.0,14.0,100.0,321.0,1924.0,3.045015726625531,1248.0
county_features,population_25_plus_moe_flag,str,51533,0,0.0,3,,,,,,,,,,
