county_fips,incidentId,declaration_count,declaration_numbers
48391,2020030901,2,"3458, 4485"
48391,2021021302,2,"3554, 4586"
48393,2020030901,2,"3458, 4485"
48393,2021021302,2,"3554, 4586"
48395,2020030901,2,"3458, 4485"
48395,2021021302,2,"3554, 4586"
48397,2020030901,2,"3458, 4485"
48397,2021021302,2,"3554, 4586"
48399,2020030901,2,"3458, 4485"
48399,2021021302,2,"3554, 4586"
48401,2020030901,2,"3458, 4485"
48401,2021021302,2,"3554, 4586"
48403,2020030901,2,"3458, 4485"
48403,2021021302,2,"3554, 4586"
48405,2020030901,2,"3458, 4485"
48405,2021021302,2,"3554, 4586"
48407,2020030901,2,"3458, 4485"
48407,2021021302,2,"3554, 4586"
48409,2020030901,2,"3458, 4485"
48409,2021021302,2,"3554, 4586"
48411,2020030901,2,"3458, 4485"
48411,2021021302,2,"3554, 4586"
48413,2020030901,2,"3458, 4485"
48413,2021021302,2,"3554, 4586"
48415,2020030901,2,"3458, 4485"
48415,2021021302,2,"3554, 4586"
48417,2020030901,2,"3458, 4485"
48417,2021021302,2,"3554, 4586"
48419,2020030901,2,"3458, 4485"
48419,2021021302,2,"3554, 4586"
48421,2020030901,2,"3458, 4485"
48421,2021021302,2,"3554, 4586"
48423,2020030901,2,"3458, 4485"
48423,2021021302,2,"3554, 4586"
48425,2020030901,2,"3458, 4485"
48425,2021021302,2,"3554, 4586"
48427,2020030901,2,"3458, 4485"
48427,2021021302,2,"3554, 4586"
48429,2020030901,2,"3458, 4485"
48429,2021021302,2,"3554, 4586"
48431,2020030901,2,"3458, 4485"
48431,2021021302,2,"3554, 4586"
48433,2020030901,2,"3458, 4485"
48433,2021021302,2,"3554, 4586"
48435,2020030901,2,"3458, 4485"
48435,2021021302,2,"3554, 4586"
48435,2026071703,2,"3649, 4935"
48437,2020030901,2,"3458, 4485"
48437,2021021302,2,"3554, 4586"
48439,2020030901,2,"3458, 4485"
48439,2021021302,2,"3554, 4586"
48441,2020030901,2,"3458, 4485"
48441,2021021302,2,"3554, 4586"
48443,2020030901,2,"3458, 4485"
48443,2021021302,2,"3554, 4586"
48445,2020030901,2,"3458, 4485"
48445,2021021302,2,"3554, 4586"
48447,2020030901,2,"3458, 4485"
48447,2021021302,2,"3554, 4586"
48449,2020030901,2,"3458, 4485"
48449,2021021302,2,"3554, 4586"
48451,2020030901,2,"3458, 4485"
48451,2021021302,2,"3554, 4586"
48453,2020030901,2,"3458, 4485"
48453,2021021302,2,"3554, 4586"
48455,2020030901,2,"3458, 4485"
48455,2021021302,2,"3554, 4586"
48457,2020030901,2,"3458, 4485"
48457,2021021302,2,"3554, 4586"
48459,2020030901,2,"3458, 4485"
48459,2021021302,2,"3554, 4586"
48461,2020030901,2,"3458, 4485"
48461,2021021302,2,"3554, 4586"
48463,2020030901,2,"3458, 4485"
48463,2021021302,2,"3554, 4586"
48463,2026071703,2,"3649, 4935"
48465,2020030901,2,"3458, 4485"
48465,2021021302,2,"3554, 4586"
48465,2026071703,2,"3649, 4935"
48467,2020030901,2,"3458, 4485"
48467,2021021302,2,"3554, 4586"
48469,2020030901,2,"3458, 4485"
48469,2021021302,2,"3554, 4586"
48471,2020030901,2,"3458, 4485"
48471,2021021302,2,"3554, 4586"
48473,2020030901,2,"3458, 4485"
48473,2021021302,2,"3554, 4586"
48475,2020030901,2,"3458, 4485"
48475,2021021302,2,"3554, 4586"
48477,2020030901,2,"3458, 4485"
48477,2021021302,2,"3554, 4586"
48479,2020030901,2,"3458, 4485"
48479,2021021302,2,"3554, 4586"
48481,2020030901,2,"3458, 4485"
48481,2021021302,2,"3554, 4586"
48483,2020030901,2,"3458, 4485"
48483,2021021302,2,"3554, 4586"
48485,2020030901,2,"3458, 4485"
48485,2021021302,2,"3554, 4586"
48487,2020030901,2,"3458, 4485"
48487,2021021302,2,"3554, 4586"
48489,2020030901,2,"3458, 4485"
48489,2021021302,2,"3554, 4586"
48491,2020030901,2,"3458, 4485"
48491,2021021302,2,"3554, 4586"
48493,2020030901,2,"3458, 4485"
48493,2021021302,2,"3554, 4586"
48495,2020030901,2,"3458, 4485"
48495,2021021302,2,"3554, 4586"
48497,2020030901,2,"3458, 4485"
48497,2021021302,2,"3554, 4586"
48499,2020030901,2,"3458, 4485"
48499,2021021302,2,"3554, 4586"
48501,2020030901,2,"3458, 4485"
48501,2021021302,2,"3554, 4586"
